Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?,Easy to Learn?,Tags,,,,,,,,Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?
89,1 - Warmup,Not Alone,Dane Rumble feat. Jupiter Project,87,4:38,Pop,,,,,,,,,,,,,,,,,,
89,2 - Squats,Raise Those Hands,R3Hab & Bassjackers,128,5:41,EDM,,,New Year's Eve,,,,,,,,,,,,,,,
89,3 - Chest,Where Did the Party Go,Fall Out Boy,94,5:06,Rock,,,"Emo, New Year's Eve",,,,,,,,,,,,,,,
89,4 - Back,Me & You,Nero,104,5:25,EDM,,,,,,,,,,,,,,,,,,
89,5 - Triceps,Applause,Lady Gaga,95,4:35,Pop,,,"Women of Pop, Sing-Along",,,,,,,,,,,,,,,
89,6 - Biceps,When You Were Young,The Killers,101,5:22,Rock,,,Sing-Along,,,,,,,,,,,,,,,
89,7 - Lunges,Burn,Ellie Goulding,100,5:34,Pop,,,"Women of Pop, Sing-Along, Summer",,,,,,,,,,,,,,,
89,8 - Shoulders,True Hardstyler (Silver Nikan Radio Edit),Brooklyn Bounce & DJ Zealot,125,5:29,EDM,,,,,,,,,,,,,,,,,,
89,9 - Core,La La La,Naughty Boy feat. Sam Smith,58,3:44,Pop,,,,,,,,,,,,,,,,,,
89,10 - Cooldown,Radioactive,Imagine Dragons,0,3:56,Rock,,,"Sing-Along, Halloween",,,,,,,,,,,,,,,
90,1 - Warmup,You Make Me,Avicii,92,5:20,Rock,,,,,,,,,,,,,,,,,,
90,2 - Squats,What Now,Rihanna,134,5:51,Hip-Hop,,,Women of Pop,,,,,,,,,,,,,,,
90,3 - Chest,Conquistador,Thirty Seconds to Mars,108,5:29,Rock,,,Emo,,,,,,,,,,,,,,,
90,4 - Back,Promises,Nero,118,5:45,EDM,,,,,,,,,,,,,,,,,,
90,5 - Triceps,Walk of Shame,P!nk,94,4:18,Pop,,,"P!nk, Women of Pop",,,,,,,,,,,,,,,
90,6 - Biceps,Miss Jackson,Panic! at the Disco feat. Loco,106,3:59,Rock,,,"Emo, Break-Up Songs",,,,,,,,,,,,,,,
90,7 - Lunges,Stay the Night,Zedd feat. Hayley Williams,128,5:20,Pop,,,,,,,,,,,,,,,,,,
90,8 - Shoulders,Thumbs Up (For Rock N Roll) Kill The Noise Remix,Kill the Noise and Feed Me,113,4:37,EDM,,,Positive Vibes,,,,,,,,,,,,,,,
90,9 - Core,Something I Need,OneRepublic,126,4:06,Pop,Hard,,Hard,,,,,,,,,,,,,,,
90,10 - Cooldown,How You Remind Me,Nickelback,0,4:07,Rock,,,Break-Up Songs,,,,,,,,,,,,,,,
90,6 - Biceps,Everybody Bring It,Ronnie Fi'nesse,128,4:58,Hip-Hop,,,,,,,,,,,,,,,,,,
90,5 - Triceps,Put Your Hands Up,Stevie V feat. III Youth,82,5:15,EDM,,,,,,,,,,,,,,,,,,
91,1 - Warmup,Ten Feet Tall,Wrabel,81,5:04,Pop,,,,,,,,,,,,,,,,,,
91,2 - Squats,Somebody Told Me,The Killers,135,5:09,Rock,,,"Emo, Sing-Along",,,,,,,,,,,,,,,
91,3 - Chest,Goodness Gracious,Ellie Goulding,124,5:52,Pop,,,Positive Vibes,,,,,,,,,,,,,,,
91,4 - Back,Beautiful Life (Remix),Armin Van Buuren,78,5:41,EDM,,,,,,,,,,,,,,,,,,
91,5 - Triceps,Hey Brother,Avicii,136,5:18,EDM,,,,,,,,,,,,,,,,,,
91,6 - Biceps,Bad Company,Five Finger Death Punch,93,5:13,Rock,,,,,,,,,,,,,,,,,,
91,7 - Lunges,Find You,Zedd,131,5:31,EDM,,,,,,,,,,,,,,,,,,
91,8 - Shoulders,"Eat, Sleep, Rave, Repeat (Remix)",Fatboy Slim,81,5:08,EDM,,,New Year's Eve,,,,,,,,,,,,,,,
91,9 - Core,Trumpets,Jason Derulo,44,3:42,Pop,,,,,,,,,,,,,,,,,,
91,10 - Cooldown,Burning Bridges,OneRepublic,0,4:23,Pop,,,,,,,,,,,,,,,,,,
91,9 - Core,Hold On,Colbie Caillat,60,3:39,Pop,,,"Women of Pop, Positive Vibes",,,,,,,,,,,,,,,
92,1 - Warmup,All We Need Is Love,Ricki-Lee,91,5:16,Pop,,,Valentine's Day,,,,,,,,,,,,,,,
92,2 - Squats,GO!,Autoerotique vs Marc Noir,124,5:29,EDM,,,,,,,,,,,,,,,,,,
92,3 - Chest,The Phoenix,Fall Out Boy,124,5:33,Rock,,,Emo,,,,,,,,,,,,,,,
92,4 - Back,Letting Go (LTN Radio Edit),BT Fractal & JES,66,5:35,EDM,,,,,,,,,,,,,,,,,,
92,5 - Triceps,Problem,Ariana Grande feat. Iggy Azalea,95,4:03,Pop,,,"Women of Pop, Break-Up Songs, Positive Vibes",,,,,,,,,,,,,,,
92,6 - Biceps,Come With Me Now,KONGOS,84,4:34,Rock,,,Easy to Learn,,,,,,,,,,,,,,,
92,7 - Lunges,NRG,Guiltless Happy,155,5:30,EDM,,,,,,,,,,,,,,,,,,
92,8 - Shoulders,Ping Pong (Radio Edit),Armin Van Buuren,101,5:15,EDM,,,,,,,,,,,,,,,,,,
92,9 - Core,Fancy,Iggy Azalea feat. Charli XCX,54,4:20,Pop,,,"Women of Pop, Sing-Along",,,,,,,,,,,,,,,
92,10 - Cooldown,Chandelier,Sia,0,3:40,Pop,,,"Women of Pop, Sing-Along, New Year's Eve",,,,,,,,,,,,,,,
92,4 - Back,Dream & Dance,DJ Paffendorf vs Ryan T,92,5:38,EDM,,,New Year's Eve,,,,,,,,,,,,,,,
92,9 - Core,Love Runs Out,OneRepublic,48,3:50,Pop,,,"Sing-Along, Valentine's Day",,,,,,,,,,,,,,,
93,1 - Warmup,Break Free,Ariana Grande feat. Zedd,95,5:00,Pop,,,"Women of Pop, Positive Vibes, Break-Up Songs",,,,,,,,,,,,,,,
93,2 - Squats,Booyah (Lucky Date Remix),Showtek feat. We are Loud & Sonny Wilson,95,5:37,EDM,,,,,,,,,,,,,,,,,,
93,3 - Chest,Kings And Queens,Thirty Seconds To Mars,75,5:34,Rock,,,Emo,,,,,,,,,,,,,,,
93,4 - Back,Here Tonight (Carita La Nina Radio Edit),Dash Berlin & Jay Cosmic feat. Colin McLoughlin,78,5:11,EDM,,Easy to Learn,"New Year's Eve, Easy to Learn",,,,,,,,,,,,,,,
93,5 - Triceps,Bang Bang,"Jessie J, Ariana Grande, & Nicki Minaj",116,4:56,Pop,Hard,,"Women of Pop, Hard",,,,,,,,,,,,,,,
93,6 - Biceps,Centuries,Fall Out Boy,144,4:56,Rock,,,Emo,,,,,,,,,,,,,,,
93,7 - Lunges,1941,Klayplex feat. Virian,121,5:27,EDM,Hard,,"New Year's Eve, Hard",,,,,,,,,,,,,,,
93,8 - Shoulders,Twisted (Eptic Remix),Fedde le Grand,112,5:37,EDM,,,,,,,,,,,,,,,,,,
93,9 - Core,All About That Bass,Meghan Trainor,136,4:54,Pop,,,Women of Pop,,,,,,,,,,,,,,,
93,10 - Cooldown,What Are You Waiting For?,Nickelback,0,3:45,Rock,,,,,,,,,,,,,,,,,,
93,3 - Chest,Fight On,Jean-Paul Parks,116,5:25,Pop,,,,,,,,,,,,,,,,,,
93,5 - Triceps,Animal,Neon Trees,96,4:36,EDM,,,,,,,,,,,,,,,,,,
94,1 - Warmup,Heroes (We Could Be),Alesso feat. Tove Lo,104,5:31,EDM,Hard,,"Positive Vibes, Hard",,,,,,,,,,,,,,,
94,2 - Squats,Everybody Go!,Vice,60,5:36,EDM,,,,,,,,,,,,,,,,,,
94,3 - Chest,Burnin' Up,Jessie J feat. 2 Chainz,146,5:34,Pop,,,"Women of Pop, Summer",,,,,,,,,,,,,,,
94,4 - Back,Today (Scooter Remix),Scooter & Vassy,72,5:29,EDM,,,,,,,,,,,,,,,,,,
94,5 - Triceps,Lips Are Movin,Meghan Trainor,127,4:43,Pop,,,"Women of Pop, Break-Up Songs",,,,,,,,,,,,,,,
94,6 - Biceps,Get 'Em Up,Nickelback,142,4:57,Rock,,,,,,,,,,,,,,,,,,
94,7 - Lunges,We Make It Bounce,Dillon Francis feat. Major Lazer & Stylo G,178,5:25,EDM,,Easy to Learn,Easy to Learn,,,,,,,,,,,,,,,
94,8 - Shoulders,This Is How It Goes,Zylent feat. Katatonic,102,5:40,Pop,,,,,,,,,,,,,,,,,,
94,9 - Core,Baby Don't Lie,Gwen Stefani,68,4:22,Pop,,,Women of Pop,,,,,,,,,,,,,,,
94,10 - Cooldown,Only Love Can Hurt Like This,Paloma Faith,0,4:18,Pop,,,Women of Pop,,,,,,,,,,,,,,,
94,6 - Biceps,I Bet My Life,Imagine Dragons,71,4:13,Rock,,,,,,,,,,,,,,,,,,
95,1 - Warmup,Outside,Calvin Harris feat. Ellie Goulding,85,4:48,Pop,Hard,,"Women of Pop, Summer, Hard",,,,,,,,,,,,,,,
95,2 - Squats,Bukem,Autoerotique & 4B,85,5:13,EDM,,,,,,,,,,,,,,,,,,
95,3 - Chest,Uptown Funk,Mark Ronson feat. Bruno Mars,177,6:06,Pop,,,"Sing-Along, Summer",,,,,,,,,,,,,,,
95,4 - Back,Beautiful World (Radio Edit),Blasterjaxx & DBSTF feat. Ryder,93,5:23,EDM,,,,,,,,,,,,,,,,,,
95,5 - Triceps,Irresistible,Fall Out Boy,129,4:18,Rock,,,Emo,,,,,,,,,,,,,,,
95,6 - Biceps,GDFR,Flo Rida feat. Sage The Gemini & Lookas,154,4:25,Hip-Hop,,,,,,,,,,,,,,,,,,
95,7 - Lunges,Burnin,Calvin Harris & R3Hab,154,6:02,EDM,Hard,,"Summer, Hard",,,,,,,,,,,,,,,
95,8 - Shoulders,I Am Machine,Three Days Grace,101,5:17,Rock,,,Beast Mode,,,,,,,,,,,,,,,
95,9 - Core,Sugar,Maroon 5,91,3:59,Pop,,,"Sing-Along, Halloween",,,,,,,,,,,,,,,
95,10 - Cooldown,Brother,NEEDTOBREATHE feat. Gavin DeGraw,0,3:33,Pop,,,,,,,,,,,,,,,,,,
96,1 - Warmup,Five More Hours,Deorro X Chris Brown,94,5:29,Hip-Hop,,,"Sing-Along, New Year's Eve",,,,,,,,,,,,,,,
96,2 - Squats,Blow Your Mind,Tiesto & MOTI,122,6:12,EDM,Hard,,Hard,,,,,,,,,,,,,,,
96,3 - Chest,Immortals,Along Pointless,137,6:08,Rock,,,Emo,,,,,,,,,,,,,,,
96,4 - Back,The Thrill,Nero,105,5:29,EDM,,,,,,,,,,,,,,,,,,
96,5 - Triceps,Hallelujah,Panic! at the Disco,101,4:16,Rock,,,Emo,,,,,,,,,,,,,,,
96,6 - Biceps,Wobble,Flo Rida,158,4:30,Hip-Hop,,,Valentine's Day,,,,,,,,,,,,,,,
96,7 - Lunges,Peanut Butter Jelly,Galantis,172,5:21,EDM,,,,,,,,,,,,,,,,,,
96,8 - Shoulders,Addicted To A Memory,Zedd Feat. Bahari,126,6:06,EDM,Hard,,Hard,,,,,,,,,,,,,,,
96,9 - Core,Want To Want Me,Jason Derulo,89,3:32,Pop,,,,,,,,,,,,,,,,,,
96,10 - Cooldown,Adore,Cashmire Cat Feat. Ariana Grande,0,3:41,Pop,,,Women of Pop,,,,,,,,,,,,,,,
97,1 - Warmup,Scars,Alesso Feat Ryan Tedder,80,5:02,EDM,,,Positive Vibes,,,,,,,,,,,,,,,
97,2 - Squats,Derp,Bassjackers & MAKJ,122,6:17,EDM,,,,,,,,,,,,,,,,,,
97,3 - Chest,Generation Day,Godsmack,135,6:05,Rock,,,Beast Mode,,,,,,,,,,,,,,,
97,4 - Back,Dark Skies,Nero,80,5:49,EDM,,,,,,,,,,,,,,,,,,
97,5 - Triceps,Waiting For Love,Avicii,157,5:33,EDM,Hard,,"Sing-Along, Valentine's Day, Hard",,,,,,,,,,,,,,,
97,6 - Biceps,We Don't Run,Bon Jovi,148,4:39,Rock,,,Sing-Along,,,,,,,,,,,,,,,
97,7 - Lunges,How Deep Is Your Love,Calvin Harris,171,5:46,EDM,,,Valentine's Day,,,,,,,,,,,,,,,
97,8 - Shoulders,Bumble Bee,Zedd & Botnek,119,5:50,EDM,,,Summer,,,,,,,,,,,,,,,
97,9 - Core,Young & Stupid,Travis Mills,55,3:05,Pop,,Easy to Learn,"New Year's Eve, Easy to Learn",,,,,,,,,,,,,,,
97,10 - Cooldown,Purple,Six60,0,3:48,Pop,,,,,,,,,,,,,,,,,,
97,4 - Back,Underworld,Alloy Dreams,80,5:58,EDM,,,,,,,,,,,,,,,,,,
98,1 - Warmup,Strong Ones,Armin Van Buuren,90,5:06,Pop,,,Positive Vibes,,,,,,,,,,,,,,,
98,2 - Squats,Techno,Vinal,124,5:29,EDM,,,,,,,,,,,,,,,,,,
98,3 - Chest,Focus,Ariana Grande,146,5:58,Pop,Hard,,"Women of Pop, Hard",,,,,,,,,,,,,,,
98,4 - Back,Chased,Andrew Rayel & Mark Sixma,88,5:30,EDM,,,,,,,,,,,,,,,,,,
98,5 - Triceps,Two Minds,Nero,137,5:32,EDM,,,Break-Up Songs,,,,,,,,,,,,,,,
98,6 - Biceps,Victorious,Panic! At The Disco,96,4:34,Rock,,,"Emo, New Year's Eve",,,,,,,,,,,,,,,
98,7 - Lunges,Memories,KSHMR,154,5:28,EDM,,,Halloween,,,,,,,,,,,,,,,
98,8 - Shoulders,Redliner,Nick Skitz,152,5:27,EDM,Hard,,Hard,,,,,,,,,,,,,,,
98,9 - Core,My House,Flo Rida,82,4:08,Hip-Hop,,,"New Year's Eve, Positive Vibes",,,,,,,,,,,,,,,
98,10 - Cooldown,Bird Set Free,Sia,0,4:18,Pop,,,"Easy to Learn, Women of Pop, Positive Vibes",,,,,,,,,,,,,,,
99,1 - Warmup,Mad World,Hardwell Feat. Jake Reese,98,5:29,EDM,,,,,,,,,,,,,,,,,,
99,2 - Squats,Power Glove,Knife Party,138,6:00,EDM,,,,,,,,,,,,,,,,,,
99,3 - Chest,In The Dark,3 Doors Down,144,6:08,Rock,Hard,,Hard,,,,,,,,,,,,,,,
99,4 - Back,Winterburn,Andrew Rayel & Digital X Feat. Sylvia Tosun,80,6:11,EDM,,,,,,,,,,,,,,,,,,
99,5 - Triceps,Something in the Way You Move,Ellie Goulding,112,4:51,Pop,,,"Positive Vibes, Women of Pop, Valentine's Day",,,,,,,,,,,,,,,
99,6 - Biceps,Emperor's New Clothes,Panic! At The Disco,99,4:16,Rock,,,"Emo, Halloween",,,,,,,,,,,,,,,
99,7 - Lunges,Won't Stop Rocking,R3Hab & Headhunters,148,5:30,EDM,,,,,,,,,,,,,,,,,,
99,8 - Shoulders,Old Skool,Armin Van Buuren,111,5:14,EDM,,,,,,,,,,,,,,,,,,
99,9 - Core,Work,Rihanna feat. Drake,117,3:39,Hip-Hop,Hard,,"Women of Pop, Hard",,,,,,,,,,,,,,,
99,10 - Cooldown,Torches,Daughtry,0,3:35,Rock,,,,,,,,,,,,,,,,,,
100,1 - Warmup,This Is What You Came For,Calvin Harris & Rihanna,106,5:58,Pop,,,Women of Pop,,,,,,,,,,,,,,,
100,2 - Squats,Kraken,Knife Party,149,6:14,EDM,,,Beast Mode,,,,,,,,,,,,,,,
100,3 - Chest,Bad Man,"Pitbull Feat. Robin Thick, Joe Perry & Travis Barker",185,5:44,Latin,,,,,,,,,,,,,,,,,,
100,4 - Back,Creation,Seven Lions feat Vok,102,6:11,EDM,,,,,,,,,,,,,,,,,,
100,5 - Triceps,Me Too,Meghan Trainor,71,4:52,Pop,,,Women of Pop,,,,,,,,,,,,,,,
100,6 - Biceps,Who's With Me,Flo Rida,136,5:20,Hip-Hop,,,,,,,,,,,,,,,,,,
100,7 - Lunges,No Money,Galantis,138,5:36,EDM,,,,,,,,,,,,,,,,,,
100,8 - Shoulders,NRG,Chase & Status feat Novelist,115,6:10,EDM,,,,,,,,,,,,,,,,,,
100,9 - Core,Wherever I Go,OneRepublic,57,3:57,Pop,,,,,,,,,,,,,,,,,,
100,10 - Cooldown,Just Like Fire,P!nk,0,3:40,Pop,,,"P!nk, Summer, Women of Pop, Positive Vibes",,,,,,,,,,,,,,,
100,4 - Back,Turn Up,The Heavy,90,5:15,Rock,,,,,,,,,,,,,,,,,,
100,7 - Lunges,Bailar,Deorro Feat Elvis Crespo,158,5:22,Latin,,,,,,,,,,,,,,,,,,
100,8 - Shoulders,Tic Tic Tic,Dada Life feat Lizzy Hale,102,5:23,Rock,,Easy to Learn,Easy to Learn,,,,,,,,,,,,,,,
100,2 - Squats,Feel Your Love,Dannic & Sick Individuals,138,5:57,EDM,,,Valentine's Day,,,,,,,,,,,,,,,
101,1 - Warmup,Run Wild,Hardwell Feat. Jake Reese,104,5:47,EDM,,,Halloween,,,,,,,,,,,,,,,
101,2 - Squats,Go! (Vincent Price Remix),Wolfpack & Avancada,184,5:56,EDM,,,,,,,,,,,,,,,,,,
101,3 - Chest,Spoken Word,Chase & Status feat George The Poet,132,5:10,Pop,,,,,,,,,,,,,,,,,,
101,4 - Back,LRAD,Knife Party,90,5:43,EDM,Hard,,Hard,,,,,,,,,,,,,,,
101,5 - Triceps,Friday,PARRI$,140,5:31,Pop,Hard,,Hard,,,,,,,,,,,,,,,
101,6 - Biceps,Jungle Youth,Young The Giant,124,5:43,Rock,,,,,,,,,,,,,,,,,,
101,7 - Lunges,Ocho Cinco,DJ Snake feat. Yellow Claw,131,5:23,EDM,,,,,,,,,,,,,,,,,,
101,8 - Shoulders,Feel Your Love,Flux Pavilion & NGHTMRE feat Jamie Lewis,148,5:55,EDM,,,Valentine's Day,,,,,,,,,,,,,,,
101,9 - Core,Closer,The Chainsmokers feat Halsey,76,4:55,Pop,,,Sing-Along,,,,,,,,,,,,,,,
101,10 - Cooldown,Love On The Brain,Rihanna,0,3:47,Hip-Hop,,,"Women of Pop, Valentine's Day",,,,,,,,,,,,,,,
102,1 - Warmup,Used To Have It All,Fais & Afrojack,93,5:10,EDM,,,Break-Up Songs,,,,,,,,,,,,,,,
102,2 - Squats,Find Me,Sigma feat. Birdy,122,5:14,EDM,,,Positive Vibes,,,,,,,,,,,,,,,
102,3 - Chest,Sweet Lovin',Sigala,138,5:02,Pop,,,"Valentine's Day, Positive Vibes",,,,,,,,,,,,,,,
102,4 - Back,Blame,Zeds Dead & Diplo feat Elliphant,98,5:36,Pop,,,,,,,,,,,,,,,,,,
102,5 - Triceps,Drum,Something In The Water,122,5:08,Pop,,,,,,,,,,,,,,,,,,
102,6 - Biceps,All The Way Up,"Fat Joe, Remy Mar, David Guetta",130,5:05,Hip-Hop,,,Easy to Learn,,,,,,,,,,,,,,,
102,7 - Lunges,Lost & Found,Borgeous & 7 Skies,188,5:15,EDM,,,,,,,,,,,,,,,,,,
102,8 - Shoulders,Feel It,GTA & What So Not,174,5:44,Pop,Hard,,Hard,,,,,,,,,,,,,,,
102,9 - Core,Starboy,The Weeknd feat Daft Punk,84,3:56,Hip-Hop,,,,,,,,,,,,,,,,,,
102,10 - Cooldown,Capsize,Frenship & Emily Warren,0,4:03,Pop,,,,,,,,,,,,,,,,,,
103,1 - Warmup,Places,Martin Solveig feat. Ina Wroldsen,84,5:08,EDM,,,,,,,,,,,,,,,,,,
103,2 - Squats,Here Comes the Sun,Will K feat. Sean Declase,128,5:24,EDM,,,Summer,,,,,,,,,,,,,,,
103,3 - Chest,Believer,Imagine Dragons,118,5:13,Rock,,,"Sing-Along, Positive Vibes",,,,,,,,,,,,,,,
103,4 - Back,I Need You,Armin Van Buuren feat. Olaf Blackwood,98,6:19,EDM,,,,,,,,,,,,,,,,,,
103,5 - Triceps,Come Get It Bae,Pharrell Williams,80,4:41,Hip-Hop,Hard,,Hard,,,,,,,,,,,,,,,
